spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Madeira Cask; Madeira Cask Finish Batch No.1,5 Years,,Batch 1,92.0,46.0,,Ex-bourbon,Ex-Madeira,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Madeira Cask; Madeira Cask Finish Batch No.3,5 Years,,Batch 3,92.0,46.0,,Ex-bourbon,Ex-Madeira,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Heavy Ester; High Congener Series 1st Release,,2014,,127.6,63.8,,Ex-bourbon,,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Heavy Ester; High Congener Series 2nd Release,,2014,,124.0,62.0,,Ex-bourbon,,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Cask Strength; Coeur de Savalle,8 Years,2020,,147.2,73.6,,Ex-bourbon,,https://www.rum-x.com/rums/10281/,2026-06-28,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 1981 XO 21 Year,21 Years,1981,,80.0,40.0,,,,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 1981 Reserve 25 Year,25 Years,1981,,80.0,40.0,,,,https://thelonecaner.com/r0001/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 90th Anniversary,,,,86.0,43.0,,,,https://www.rum-x.com/rums/22699/,2026-06-28,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",Cavalier,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Antigua Rum,,,,,,,,,https://thelonecaner.com/r0858/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",Cavalier,own_make,NULL,FALSE,FALSE,Column Still Rum; White; White,,,,,,,,,https://thelonecaner.com/r0858/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",Cavalier,own_make,NULL,FALSE,FALSE,Column Still Rum; Overproof; Puncheon,,,,130.0,65.0,,,,https://www.thewhiskyexchange.com/p/28423,2026-06-26,https://img.thewhiskyexchange.com/540/rum_cav2.jpg,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",Cavalier,own_make,NULL,FALSE,FALSE,Column Still Rum; Overproof; 151 Proof,2 Years,,,151.0,75.5,,American oak ex-bourbon,,https://rumratings.com/rum/32,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",Cavalier,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 5 Year,5 Years,,,,,,,,https://thelonecaner.com/category/rums/cavalier/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",Cavalier,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Extra Old,,,,,,,,,https://thelonecaner.com/category/rums/cavalier/,2026-06-07,NULL,rum_antigua
